Year,Sport,Event,Medal,Country
1960,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Gold,Bulgaria
2004,Weightlifting,Weightlifting Men's Middle-Heavyweight,Gold,Bulgaria
1988,Athletics,Athletics Women's 100 metres Hurdles,Gold,Bulgaria
1992,Athletics,Athletics Women's 100 metres Hurdles,Bronze,Bulgaria
1988,Gymnastics,Gymnastics Women's Floor Exercise,Bronze,Bulgaria
1980,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver,Bulgaria
1988,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,Silver,Bulgaria
1996,Gymnastics,Gymnastics Men's Horizontal Bar,Silver,Bulgaria
1968,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver,Bulgaria
1972,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Silver,Bulgaria
1996,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Bronze,Bulgaria
1980,Shooting,"Shooting Mixed Free Pistol, 50 metres",Bronze,Bulgaria
2000,Rowing,Rowing Women's Single Sculls,Silver,Bulgaria
2004,Rowing,Rowing Women's Single Sculls,Bronze,Bulgaria
2008,Rowing,Rowing Women's Single Sculls,Gold,Bulgaria
1980,Rowing,Rowing Women's Coxed Fours,Silver,Bulgaria
1988,Swimming,Swimming Women's 100 metres Breaststroke,Silver,Bulgaria
1988,Swimming,Swimming Women's 200 metres Breaststroke,Bronze,Bulgaria
1980,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver,Bulgaria
1964,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold,Bulgaria
1968,Wrestling,"Wrestling Men's Middleweight, Freestyle",Bronze,Bulgaria
2004,Boxing,Boxing Men's Light-Welterweight,Bronze,Bulgaria
2004,Judo,Judo Men's Half-Lightweight,Bronze,Bulgaria
1976,Rowing,Rowing Women's Coxed Fours,Silver,Bulgaria
1988,Rowing,Rowing Women's Single Sculls,Bronze,Bulgaria
1988,Gymnastics,Gymnastics Men's Pommelled Horse,Gold,Bulgaria
1988,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Silver,Bulgaria
1980,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Silver,Bulgaria
1988,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Gold,Bulgaria
1988,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver,Bulgaria
1988,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Bronze,Bulgaria
1992,Wrestling,"Wrestling Men's Lightweight, Freestyle",Silver,Bulgaria
1988,Weightlifting,Weightlifting Men's Middleweight,Gold,Bulgaria
1976,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Silver,Bulgaria
1992,Shooting,"Shooting Women's Air Pistol, 10 metres",Bronze,Bulgaria
1996,Shooting,"Shooting Women's Air Pistol, 10 metres",Bronze,Bulgaria
2000,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Gold,Bulgaria
2004,Shooting,"Shooting Women's Air Pistol, 10 metres",Bronze,Bulgaria
2004,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Gold,Bulgaria
1976,Rowing,Rowing Women's Coxless Pairs,Gold,Bulgaria
1980,Rowing,Rowing Women's Coxless Pairs,Bronze,Bulgaria
2004,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Bronze,Bulgaria
1976,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",Gold,Bulgaria
1992,Weightlifting,Weightlifting Men's Flyweight,Gold,Bulgaria
1960,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver,Bulgaria
1964,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver,Bulgaria
2016,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Bronze,Bulgaria
1960,Gymnastics,Gymnastics Men's Rings,Bronze,Bulgaria
1964,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Silver,Bulgaria
1988,Boxing,Boxing Men's Bantamweight,Silver,Bulgaria
1992,Weightlifting,Weightlifting Men's Heavyweight II,Bronze,Bulgaria
1980,Weightlifting,Weightlifting Men's Heavyweight II,Silver,Bulgaria
1972,Athletics,Athletics Women's Shot Put,Bronze,Bulgaria
1976,Athletics,Athletics Women's Shot Put,Gold,Bulgaria
1988,Athletics,Athletics Women's Discus Throw,Bronze,Bulgaria
1992,Athletics,Athletics Women's Discus Throw,Silver,Bulgaria
1968,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Gold,Bulgaria
1972,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Gold,Bulgaria
1988,Shooting,"Shooting Men's Air Pistol, 10 metres",Gold,Bulgaria
1996,Shooting,"Shooting Men's Air Pistol, 10 metres",Bronze,Bulgaria
2000,Shooting,"Shooting Men's Free Pistol, 50 metres",Gold,Bulgaria
1976,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze,Bulgaria
1980,Weightlifting,Weightlifting Men's Middleweight,Bronze,Bulgaria
1976,Boxing,Boxing Men's Light-Welterweight,Bronze,Bulgaria
1988,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Gold,Bulgaria
1972,Boxing,Boxing Men's Flyweight,Gold,Bulgaria
1988,Athletics,Athletics Women's High Jump,Silver,Bulgaria
1996,Athletics,Athletics Women's High Jump,Gold,Bulgaria
1976,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Bronze,Bulgaria
1972,Wrestling,"Wrestling Men's Featherweight, Freestyle",Bronze,Bulgaria
1972,Weightlifting,Weightlifting Men's Heavyweight,Silver,Bulgaria
1972,Weightlifting,Weightlifting Men's Lightweight,Silver,Bulgaria
1988,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Silver,Bulgaria
1992,Shooting,"Shooting Women's Air Rifle, 10 metres",Silver,Bulgaria
1980,Boxing,Boxing Men's Flyweight,Gold,Bulgaria
1980,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Silver,Bulgaria
1980,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Gold,Bulgaria
1988,Rowing,Rowing Women's Double Sculls,Bronze,Bulgaria
1988,Tennis,Tennis Women's Singles,Bronze,Bulgaria
1988,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Bronze,Bulgaria
1992,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Bronze,Bulgaria
1988,Weightlifting,Weightlifting Men's Flyweight,Gold,Bulgaria
2000,Athletics,Athletics Women's Triple Jump,Gold,Bulgaria
2000,Weightlifting,Weightlifting Men's Lightweight,Silver,Bulgaria
1972,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Gold,Bulgaria
1988,Athletics,Athletics Men's Triple Jump,Gold,Bulgaria
1992,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Silver,Bulgaria
1956,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver,Bulgaria
2000,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Silver,Bulgaria
2000,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Silver,Bulgaria
1968,Boxing,Boxing Men's Featherweight,Bronze,Bulgaria
1996,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Silver,Bulgaria
1996,Weightlifting,Weightlifting Men's Flyweight,Bronze,Bulgaria
1976,Weightlifting,Weightlifting Men's Middleweight,Gold,Bulgaria
1980,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Bronze,Bulgaria
1980,Boxing,Boxing Men's Light-Flyweight,Bronze,Bulgaria
1988,Boxing,Boxing Men's Light-Flyweight,Gold,Bulgaria
1964,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze,Bulgaria
2000,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Gold,Bulgaria
2004,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Bronze,Bulgaria
1980,Judo,Judo Men's Half-Lightweight,Bronze,Bulgaria
1964,Boxing,Boxing Men's Light-Heavyweight,Bronze,Bulgaria
1972,Weightlifting,Weightlifting Men's Middle-Heavyweight,Gold,Bulgaria
1952,Boxing,Boxing Men's Middleweight,Bronze,Bulgaria
1972,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",Silver,Bulgaria
1976,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver,Bulgaria
1972,Weightlifting,Weightlifting Men's Featherweight,Gold,Bulgaria
1976,Weightlifting,Weightlifting Men's Bantamweight,Gold,Bulgaria
1976,Rowing,Rowing Women's Double Sculls,Gold,Bulgaria
1980,Weightlifting,Weightlifting Men's Lightweight,Bronze,Bulgaria
1980,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze,Bulgaria
1992,Weightlifting,Weightlifting Men's Featherweight,Silver,Bulgaria
1996,Weightlifting,Weightlifting Men's Bantamweight,Bronze,Bulgaria
1964,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Silver,Bulgaria
1960,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Bronze,Bulgaria
1980,Athletics,Athletics Men's 100 metres,Bronze,Bulgaria
2012,Boxing,Boxing Men's Heavyweight,Bronze,Bulgaria
1964,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Gold,Bulgaria
1968,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Gold,Bulgaria
1980,Wrestling,"Wrestling Men's Welterweight, Freestyle",Gold,Bulgaria
1980,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Gold,Bulgaria
1980,Weightlifting,Weightlifting Men's Lightweight,Gold,Bulgaria
1992,Boxing,Boxing Men's Super-Heavyweight,Bronze,Bulgaria
1980,Wrestling,"Wrestling Men's Flyweight, Freestyle",Bronze,Bulgaria
1976,Weightlifting,Weightlifting Men's Heavyweight,Silver,Bulgaria
1972,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver,Bulgaria
1976,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze,Bulgaria
1988,Wrestling,"Wrestling Men's Featherweight, Freestyle",Bronze,Bulgaria
1976,Athletics,Athletics Women's 800 metres,Silver,Bulgaria
1956,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver,Bulgaria
1988,Wrestling,"Wrestling Men's Welterweight, Freestyle",Bronze,Bulgaria
1956,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold,Bulgaria
1968,Boxing,Boxing Men's Light-Heavyweight,Bronze,Bulgaria
1972,Athletics,Athletics Women's Discus Throw,Bronze,Bulgaria
1976,Weightlifting,Weightlifting Men's Light-Heavyweight,Silver,Bulgaria
2008,Wrestling,"Wrestling Men's Middleweight, Freestyle",Bronze,Bulgaria
1968,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver,Bulgaria
1976,Weightlifting,Weightlifting Men's Featherweight,Silver,Bulgaria
1996,Boxing,Boxing Men's Featherweight,Silver,Bulgaria
1972,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Silver,Bulgaria
1976,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Silver,Bulgaria
1980,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Silver,Bulgaria
1996,Boxing,Boxing Men's Lightweight,Silver,Bulgaria
1988,Weightlifting,Weightlifting Men's Featherweight,Silver,Bulgaria
2000,Weightlifting,Weightlifting Men's Heavyweight,Silver,Bulgaria
1988,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Bronze,Bulgaria
1988,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",Silver,Bulgaria
1960,Wrestling,"Wrestling Men's Lightweight, Freestyle",Bronze,Bulgaria
1964,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold,Bulgaria
1968,Wrestling,"Wrestling Men's Lightweight, Freestyle",Silver,Bulgaria
1988,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Silver,Bulgaria
1988,Weightlifting,Weightlifting Men's Middleweight,Bronze,Bulgaria
1964,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Silver,Bulgaria
2008,Wrestling,"Wrestling Men's Featherweight, Freestyle",Bronze,Bulgaria
1976,Athletics,Athletics Women's Discus Throw,Silver,Bulgaria
1980,Athletics,Athletics Women's Discus Throw,Silver,Bulgaria
2004,Rowing,Rowing Men's Single Sculls,Bronze,Bulgaria
2008,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze,Bulgaria
1980,Wrestling,"Wrestling Men's Lightweight, Freestyle",Silver,Bulgaria
2016,Wrestling,"Wrestling Women's Flyweight, Freestyle",Bronze,Bulgaria
1992,Wrestling,"Wrestling Men's Flyweight, Freestyle",Bronze,Bulgaria
1996,Wrestling,"Wrestling Men's Flyweight, Freestyle",Gold,Bulgaria
1996,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Silver,Bulgaria
1972,Athletics,Athletics Women's Long Jump,Silver,Bulgaria
1992,Weightlifting,Weightlifting Men's Lightweight,Silver,Bulgaria
1996,Weightlifting,Weightlifting Men's Middleweight,Silver,Bulgaria
2000,Gymnastics,Gymnastics Men's Floor Exercise,Bronze,Bulgaria
2000,Gymnastics,Gymnastics Men's Rings,Bronze,Bulgaria
2004,Gymnastics,Gymnastics Men's Floor Exercise,Bronze,Bulgaria
2004,Gymnastics,Gymnastics Men's Rings,Silver,Bulgaria
1960,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Silver,Bulgaria
1980,Judo,Judo Men's Heavyweight,Silver,Bulgaria
1980,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",Bronze,Bulgaria
1980,Weightlifting,Weightlifting Men's Middleweight,Gold,Bulgaria
2008,Wrestling,"Wrestling Women's Heavyweight, Freestyle",Silver,Bulgaria
2012,Wrestling,"Wrestling Women's Heavyweight, Freestyle",Silver,Bulgaria
1984,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze,Canada
2012,Diving,Diving Women's Synchronized Springboard,Bronze,Canada
1936,Basketball,Basketball Men's Basketball,Silver,Canada
2016,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze,Canada
1996,Synchronized Swimming,Synchronized Swimming Women's Team,Silver,Canada
2000,Rowing,Rowing Women's Coxed Eights,Bronze,Canada
1904,Lacrosse,Lacrosse Men's Lacrosse,Bronze,Canada
1976,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze,Canada
1936,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Gold,Canada
1960,Rowing,Rowing Men's Coxed Eights,Silver,Canada
1908,Cycling,"Cycling Men's Team Pursuit, 1,980 yards",Bronze,Canada
1908,Athletics,Athletics Men's Pole Vault,Bronze,Canada
1984,Rowing,Rowing Women's Coxed Fours,Silver,Canada
2008,Athletics,Athletics Men's Shot Put,Bronze,Canada
1956,Rowing,Rowing Men's Coxless Fours,Gold,Canada
1928,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze,Canada
2004,Rowing,Rowing Men's Coxless Fours,Silver,Canada
1984,Athletics,Athletics Women's 4 x 100 metres Relay,Silver,Canada
1904,Rowing,Rowing Men's Coxed Eights,Silver,Canada
1996,Athletics,Athletics Men's 100 metres,Gold,Canada
1996,Athletics,Athletics Men's 4 x 100 metres Relay,Gold,Canada
1908,Rowing,Rowing Men's Coxless Fours,Bronze,Canada
1908,Rowing,Rowing Men's Coxed Eights,Bronze,Canada
1928,Athletics,Athletics Men's 400 metres,Silver,Canada
1928,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze,Canada
1932,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze,Canada
1992,Rowing,Rowing Men's Coxed Eights,Gold,Canada
1992,Rowing,Rowing Women's Coxless Fours,Gold,Canada
1992,Rowing,Rowing Women's Coxed Eights,Gold,Canada
1924,Shooting,"Shooting Men's Trap, Team",Silver,Canada
1984,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver,Canada
1984,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Bronze,Canada
1984,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Silver,Canada
1984,Cycling,"Cycling Men's Road Race, Individual",Silver,Canada
1984,Swimming,Swimming Men's 200 metres Individual Medley,Gold,Canada
1984,Swimming,Swimming Men's 400 metres Individual Medley,Gold,Canada
2008,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze,Canada
1908,Shooting,Shooting Men's Trap,Silver,Canada
1908,Shooting,"Shooting Men's Trap, Team",Silver,Canada
2000,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze,Canada
2016,Football,Football Women's Football,Bronze,Canada
1924,Rowing,Rowing Men's Coxed Eights,Silver,Canada
1928,Athletics,Athletics Women's 4 x 100 metres Relay,Gold,Canada
2012,Diving,Diving Women's Synchronized Platform,Bronze,Canada
2016,Diving,Diving Women's Platform,Bronze,Canada
2016,Diving,Diving Women's Synchronized Platform,Bronze,Canada
2016,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Bronze,Canada
1948,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Silver,Canada
1920,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold,Canada
2012,Rowing,Rowing Men's Coxed Eights,Silver,Canada
1984,Judo,Judo Men's Heavyweight,Bronze,Canada
1984,Diving,Diving Women's Springboard,Gold,Canada
2016,Cycling,Cycling Women's Team Pursuit,Bronze,Canada
1996,Rowing,Rowing Women's Quadruple Sculls,Bronze,Canada
1924,Rowing,Rowing Men's Coxless Fours,Silver,Canada
1904,Lacrosse,Lacrosse Men's Lacrosse,Gold,Canada
1956,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Bronze,Canada
1932,Rowing,Rowing Men's Coxed Eights,Bronze,Canada
2000,Taekwondo,Taekwondo Women's Heavyweight,Bronze,Canada
1932,Sailing,Sailing Mixed 6 metres,Bronze,Canada
1996,Rowing,Rowing Men's Lightweight Coxless Fours,Silver,Canada
1908,Lacrosse,Lacrosse Men's Lacrosse,Gold,Canada
1908,Athletics,Athletics Men's Long Jump,Bronze,Canada
1912,Athletics,Athletics Men's Long Jump,Silver,Canada
1936,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze,Canada
1996,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Silver,Canada
2000,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Silver,Canada
2004,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Bronze,Canada
2012,Rowing,Rowing Women's Coxed Eights,Silver,Canada
2008,Trampolining,Trampolining Men's Individual,Silver,Canada
1912,Rowing,Rowing Men's Single Sculls,Bronze,Canada
2008,Rowing,Rowing Men's Coxed Eights,Gold,Canada
1984,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Gold,Canada
1984,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Silver,Canada
2008,Rowing,Rowing Men's Coxless Pairs,Silver,Canada
1984,Sailing,Sailing Mixed Three Person Keelboat,Bronze,Canada
2016,Swimming,Swimming Women's 200 metres Backstroke,Bronze,Canada
1988,Synchronized Swimming,Synchronized Swimming Women's Duet,Gold,Canada
2008,Rowing,Rowing Women's Lightweight Double Sculls,Bronze,Canada
2012,Cycling,Cycling Women's Team Pursuit,Bronze,Canada
1928,Athletics,Athletics Women's High Jump,Gold,Canada
1992,Athletics,"Athletics Women's 3,000 metres",Bronze,Canada
2012,Football,Football Women's Football,Bronze,Canada
1936,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Bronze,Canada
1936,Canoeing,"Canoeing Men's Canadian Doubles, 10,000 metres",Silver,Canada
1996,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Bronze,Canada
1904,Football,Football Men's Football,Gold,Canada
1976,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze,Canada
1992,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze,Canada
1972,Swimming,Swimming Women's 400 metres Individual Medley,Silver,Canada
2008,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze,Canada
2012,Swimming,"Swimming Men's 1,500 metres Freestyle",Silver,Canada
2000,Trampolining,Trampolining Women's Individual,Bronze,Canada
2004,Trampolining,Trampolining Women's Individual,Silver,Canada
2008,Trampolining,Trampolining Women's Individual,Silver,Canada
2008,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver,Canada
1968,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze,Canada
1908,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Bronze,Canada
1972,Sailing,Sailing Mixed Three Person Keelboat,Bronze,Canada
1984,Rowing,Rowing Women's Coxless Pairs,Silver,Canada
1984,Rowing,Rowing Men's Coxed Eights,Gold,Canada
1932,Sailing,Sailing Mixed 8 metres,Silver,Canada
1984,Athletics,Athletics Women's 4 x 400 metres Relay,Silver,Canada
1964,Athletics,Athletics Men's 800 metres,Silver,Canada
1908,Shooting,"Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team",Bronze,Canada
1984,Swimming,Swimming Men's 100 metres Breaststroke,Silver,Canada
1984,Swimming,Swimming Men's 200 metres Breaststroke,Gold,Canada
1984,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver,Canada
1988,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver,Canada
1932,Athletics,Athletics Women's High Jump,Bronze,Canada
1968,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold,Canada
2016,Athletics,Athletics Men's 100 metres,Bronze,Canada
2016,Athletics,Athletics Men's 200 metres,Silver,Canada
2012,Canoeing,"Canoeing Men's Kayak Singles, 200 metres",Bronze,Canada
1932,Rowing,Rowing Men's Double Sculls,Bronze,Canada
1996,Boxing,Boxing Men's Heavyweight,Silver,Canada
1984,Weightlifting,Weightlifting Men's Middleweight,Silver,Canada
1904,Athletics,Athletics Men's 56-pound Weight Throw,Gold,Canada
2004,Diving,Diving Men's Springboard,Silver,Canada
2008,Diving,Diving Men's Springboard,Silver,Canada
1984,Boxing,Boxing Men's Heavyweight,Silver,Canada
1928,Rowing,Rowing Men's Coxed Eights,Bronze,Canada
1988,Boxing,Boxing Men's Light-Middleweight,Bronze,Canada
2012,Athletics,Athletics Men's High Jump,Bronze,Canada
2016,Athletics,Athletics Men's High Jump,Gold,Canada
1988,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze,Canada
1932,Athletics,Athletics Men's 800 metres,Bronze,Canada
1932,Athletics,"Athletics Men's 1,500 metres",Bronze,Canada
1936,Athletics,Athletics Men's 800 metres,Bronze,Canada
